Food2,,,,,,,,,,
Produits alimentaires2 2004-06 = 100,,91,94,98,100,102,105,109,110,111
Quantities - Quantités,,,,,,,,,,
Cereals2,,,,,,,,,,
Céréales2 million t.,,2 033,2 092,2 281,2 269,2 237,2 355,2 525,2 494,2 458
Meat2,,,,,,,,,,
Viande2 million t.,,228,233,238,245,251,257,263,268,275
Séries,Unité ou base,2002,,2003,2004,2005,2006,2007,2008,2009,2010
Population•,Population,,,,,,,,,,
World population 1,,,,,,,,,,,
Population mondial 1,million,6 277,,6 353,6 429,6 506,6 584,6 662,6 740,6 818,6 896
Output / production,•Production,,,,,,,,,,
Gross domestic product,•Produit intérieur brut,,,,,,,,,,
GDP at current prices,billion US $,,,,,,,,,,
PIB aux prix courants,milliard $ E.-U.,33 429,,37 545,42 275,45 745,49 603,55 886,61 233,57 960,63 064
GDP per capita,US $,,,,,,,,,,
PIB par habitant,$ E.-U.,5 346,,5 932,6 600,7 057,7 562,8 420,9 119,8 533,9 178
GDP real rates of growth,,,,,,,,,,,
Taux de l’accroissement réels %,,2.1,,2.8,4.1,3.5,4.1,4.0,1.4,-2.3,4.0
